Output,Model,Mean_R2,Std_R2,Min_R2,Max_R2,CV_R2_%,Mean_RMSE,Std_RMSE,Min_RMSE,Max_RMSE,CV_RMSE_%,Mean_MAE,Std_MAE,Min_MAE,Max_MAE,CV_MAE_%,Mean_MSE,Std_MSE,Min_MSE,Max_MSE
tmp,Linear Regression,0.5101247994274224,0.015182267349293937,0.48204675548247156,0.5324223837303992,2.9761868794332127,0.06291279220628324,0.0012617675607657496,0.06118319144482572,0.06543603783915251,2.0055818801183873,0.044717055374845785,0.0009088657718638041,0.04318969684096056,0.04640227718520979,2.0324812630105757,0.003959531877699502,0.00015945072393801208,0.0037433829153741957,0.004281875048086999
tmp,Ridge Regression,0.5101250685377454,0.015169623888832307,0.48207150160939083,0.5324017655338875,2.973706807296389,0.06291279636740273,0.0012616469238001683,0.061184424874460616,0.06543573560526855,2.005389994799008,0.044717203490415004,0.0009086084420544778,0.043190692072040994,0.0464025459606665,2.0318990704533553,0.003959532112078599,0.0001594359395633769,0.003743533847218515,0.004281835494202611
tmp,Lasso Regression,0.43673820677496666,0.010218061523604587,0.41758300824191075,0.45193104762962877,2.3396307822616347,0.06746987984422963,0.0013011031288758025,0.06488229104691075,0.07023108179706813,1.9284206995472803,0.04911543604211875,0.0007949452518157077,0.047869480296981744,0.0510241690800064,1.618524268285037,0.0045537929120791545,0.00017615105186726207,0.004209711691496035,0.004932404850386475
tmp,ElasticNet,0.4786638353675431,0.010292066688711908,0.45908492837692094,0.4915738456412152,2.1501659261157933,0.06490959522143704,0.0012623119042158625,0.06246916472557258,0.06739250989885215,1.9447231182223912,0.04670257921525588,0.000780465693123426,0.04520282242370828,0.04847718731085307,1.671140451421747,0.00421476931158715,0.0001644284935783302,0.003902396541510722,0.004541750390466885
tmp,Decision Tree,0.9439356958561967,0.010279558399749384,0.9283791085042167,0.9590044208509724,1.089010453241236,0.021194463239929736,0.0019425059278180444,0.01791395427900845,0.024108662031594078,9.165157455643515,0.009876722752349259,0.0006127825927482911,0.00893188569166113,0.010969886994747382,6.204310965421559,0.0004527899348443608,8.12582248478467e-05,0.0003209097579104052,0.0005812275849536258
tmp,Random Forest,0.9747674529237418,0.004141949220639435,0.967639257680462,0.9826639732873257,0.4249166514757925,0.014238508176336633,0.0012499316918190586,0.011698660402230344,0.016267065062518418,8.778529859584266,0.006406493834682875,0.00035284647770944413,0.005692698405,0.006977869468439768,5.507637825220981,0.00020421932786010813,3.542202699179031e-05,0.00013685865520671222,0.0002646174057482073
tmp,Extra Trees,0.9866047271580903,0.002588047260155087,0.9804140199899636,0.9901206417942764,0.26231855462622233,0.010371108576723282,0.0011068544104835807,0.008831321931386823,0.012655305091766397,10.672479246507779,0.005067500516786648,0.0003472531041961575,0.004537869596284472,0.005720488848867927,6.852551924678522,0.00010872376346188979,2.3705972331694453e-05,7.799224705579388e-05,0.0001601567469656885
tmp,Gradient Boosting,0.9268105221152295,0.005902256621570361,0.9171744087277698,0.9381005074867472,0.6368353056782127,0.02430769757462759,0.0011828961683285186,0.022348163677269196,0.026809719361075127,4.8663439418599115,0.014781679862894512,0.0004194736324150606,0.014211090902563516,0.01549563487276024,2.8377940552483345,0.00059219344255735,5.802117350152683e-05,0.0004994404197460142,0.0007187610522196066
tmp,AdaBoost,0.7425797178438641,0.02134066189902824,0.6885202030480149,0.7760300552297282,2.8738546699056706,0.04557021162107951,0.0018749535218668897,0.04295222711227285,0.050468750818217785,4.114427945731962,0.0403808138058228,0.0018890376826507535,0.03763402388708946,0.044851467029944615,4.678057484761141,0.002079983865363673,0.00017321602585183282,0.0018448938139042673,0.002547094809151358
tmp,Hist Gradient Boosting,0.9703469179601459,0.004450681574583109,0.9595464782769293,0.9760310472115613,0.45866911021259177,0.015449810546942014,0.0012744741890255123,0.013755800871236836,0.01818771473195712,8.24912503071288,0.008191046133242466,0.00040679886357487013,0.0074344499776376775,0.008863834542834178,4.966384720065504,0.0002402397161719683,4.045805811976001e-05,0.00018922205760912012,0.00033079296717105006
