Split,Random_Seed,Output,Model,MSE,RMSE,MAE,R2
1,121959,tmp,Linear Regression,0.0039805515459431385,0.06309161232638724,0.04466320678768337,0.5048034053414835
1,121959,tmp,Ridge Regression,0.0039805520495967564,0.06309161631783383,0.044663374286037255,0.5048033426849512
1,121959,tmp,Lasso Regression,0.004531466120979268,0.06731616537637351,0.04883893174195831,0.4362674202256328
1,121959,tmp,ElasticNet,0.004211615273224195,0.06489695889041486,0.04657035008162824,0.4760581499219678
1,121959,tmp,Decision Tree,0.00014968557887052396,0.012234605791382245,0.006208332819495333,0.9813785129847855
1,121959,tmp,Random Forest,2.8771520553478635e-05,0.005363909073938394,0.0023182383439999984,0.9964207073223933
1,121959,tmp,Extra Trees,1.5535200895343356e-32,1.2464028600473988e-16,8.198254586000499e-17,1.0
1,121959,tmp,Gradient Boosting,0.0004140376214211597,0.020347914424362016,0.012683060452120396,0.948492057489563
1,121959,tmp,AdaBoost,0.0020021099894066688,0.04474494373006484,0.039073331774358545,0.7509294786305617
1,121959,tmp,Hist Gradient Boosting,6.132358902635095e-05,0.00783093794039711,0.004796028863397875,0.992371099304307
1,121959,tmp,KNN,0.0001866625581666394,0.013662450664746768,0.006030993868118196,0.9767784282937941
1,121959,tmp,SVR,0.0008884076559443816,0.029806168085555407,0.015512053744866588,0.8894785205480926
1,121959,tmp,Bagging,2.9806842416983382e-05,0.005459564306515986,0.0023441671104821138,0.9962919091256446
1,121959,tmp,MLP Neural Network,0.00033444974957658874,0.018287967344037682,0.009949723921100067,0.9583931083009052
1,121959,tmp,XGBoost,5.8373630520182515e-06,0.0024160635446979144,0.0017102692200029043,0.9992738085986875
1,121959,tmp,LightGBM,5.79414277074893e-05,0.007611926675125641,0.004739137477825024,0.9927918537521154
1,121959,flow,Linear Regression,0.03475915159430377,0.18643806369490049,0.1459677022223692,0.4749337283587801
1,121959,flow,Ridge Regression,0.03475916320390438,0.18643809483017246,0.14596065237778233,0.47493355298598106
1,121959,flow,Lasso Regression,0.04016774193526552,0.20041891611139284,0.15709222274411175,0.39323241417512533
1,121959,flow,ElasticNet,0.037235547762977626,0.192965146497956,0.1494468225125592,0.4375256777087386
1,121959,flow,Decision Tree,0.005848635211976643,0.07647637028505369,0.05277768508693199,0.9116514372737053
1,121959,flow,Random Forest,0.0009318124605375768,0.030525603360745824,0.02302938891173872,0.9859241876719604
1,121959,flow,Extra Trees,1.2442501855580636e-31,3.527393067915828e-16,2.3240438431500164e-16,1.0
1,121959,flow,Gradient Boosting,0.009687931369956907,0.09842728976232612,0.0777424679611401,0.8536556339547453
1,121959,flow,AdaBoost,0.01916978977596188,0.13845500993449777,0.1121798686184143,0.7104241736596422
1,121959,flow,Hist Gradient Boosting,0.0034571638179030067,0.0587976514658792,0.045786095582164246,0.947776627648854
1,121959,flow,KNN,0.004710214797238542,0.06863100463521236,0.051204948562986005,0.9288482368303649
1,121959,flow,SVR,0.014717575433059035,0.1213160147427331,0.08954616557250153,0.7776786225846457
1,121959,flow,Bagging,0.0009310774248995664,0.030513561327704216,0.02295020173940902,0.9859352910045871
1,121959,flow,MLP Neural Network,0.008671143257582326,0.09311897367122517,0.07151326528153053,0.8690150751012066
1,121959,flow,XGBoost,0.0008932878791434752,0.029887921960943944,0.02222315182547471,0.9865061339333432
1,121959,flow,LightGBM,0.0034761716834476684,0.05895906786447415,0.04597833197064613,0.9474894978244589
1,121959,lv,Linear Regression,1.0152043665174768,1.007573504275235,0.7087834855321602,0.1952990267659518
1,121959,lv,Ridge Regression,1.0152046905874679,1.007573665092269,0.7088020244471797,0.19529876989211847
1,121959,lv,Lasso Regression,1.1158084639341235,1.0563183534967682,0.7831297660357607,0.11555526504414382
1,121959,lv,ElasticNet,1.0610135766977224,1.030055132843734,0.7465313105555091,0.15898839096600992
1,121959,lv,Decision Tree,0.13389611214401922,0.36591817684288275,0.22806405924397583,0.893867347986143
1,121959,lv,Random Forest,0.029782374623260603,0.17257570693252455,0.10630668189477448,0.9763930232818337
1,121959,lv,Extra Trees,1.1306597360057301e-30,1.0633248497076188e-15,7.956310571497234e-17,1.0
1,121959,lv,Gradient Boosting,0.27392239430315485,0.5233759588509533,0.37624221934476615,0.7828756213465766
1,121959,lv,AdaBoost,0.8259074658200568,0.908794512428446,0.7899005578761592,0.3453450719222996
1,121959,lv,Hist Gradient Boosting,0.08200684358133066,0.2863683704275503,0.20221430451541425,0.9349973374640591
1,121959,lv,KNN,0.15204741184977566,0.38993257346594634,0.24033009156080873,0.879479734003758
1,121959,lv,SVR,0.58446049751525,0.7645001618804603,0.43695826074854205,0.5367278287220791
1,121959,lv,Bagging,0.02996596638390146,0.1731068062899361,0.10654717995007774,0.9762474994116279
1,121959,lv,MLP Neural Network,0.16952987707927375,0.411740060085576,0.28931614270957656,0.8656222711630824
1,121959,lv,XGBoost,0.015059873804839977,0.12271867748977731,0.08750772264678375,0.9880628024196663
1,121959,lv,LightGBM,0.08895610876509591,0.29825510685501416,0.21061076102149834,0.9294890076724722
2,671156,tmp,Linear Regression,0.004047432335492615,0.06361943363071236,0.04482966826757806,0.503605046063408
2,671156,tmp,Ridge Regression,0.004047432836266866,0.06361943756641414,0.044829867289651264,0.5036049846462449
2,671156,tmp,Lasso Regression,0.004584043263894632,0.06770556302029127,0.04887426973941317,0.4377927149343265
2,671156,tmp,ElasticNet,0.004273405591495244,0.06537129026946956,0.046732761675302506,0.47589068923014544
