Feature,Pearson_Corr,Pearson_Abs,SHAP_Feasible,ALE_Importance,Pearson_Rank,SHAP_Rank,ALE_Rank,Rank_Variance,Agreement
srt,0.0015417241898907836,0.0015417241898907836,0.23163438597905767,0.11809856638252433,7,1,4,9.0,✗ Divergent
air,-0.10945400040906297,0.10945400040906297,0.1758066711704356,0.0306478851340155,5,2,6,4.333333333333333,✗ Divergent
mlss,-0.4890678159739031,0.4890678159739031,0.15027170174236695,0.21420339082755244,1,3,2,1.0,~ Partial
fm,0.481462488861629,0.481462488861629,0.14767285331640745,0.23054934989244852,2,4,1,2.333333333333333,~ Partial
glu,0.26885271207965916,0.26885271207965916,0.12309603633598305,0.12769894006071414,3,5,3,1.3333333333333333,~ Partial
cn,0.13110589816559454,0.13110589816559454,0.06450678163427977,0.08537114971728879,4,6,5,1.0,~ Partial
hrt,-0.05546559698615095,0.05546559698615095,0.03808465303707245,0.02428788349401385,6,7,7,0.3333333333333333,✓ Strong
