Feature,Mean_Abs_SHAP_Feasible
air,0.25364600051185654
cn,0.21237345688254428
srt,0.17225426891844403
hrt,0.13490821508918402
fm,0.118076804545135
glu,0.07740593170210155
mlss,0.048228459107461985
