Feature,Pearson_Corr,Pearson_Abs,SHAP_Feasible,ALE_Importance,Pearson_Rank,SHAP_Rank,ALE_Rank,Rank_Variance,Agreement
air,-0.6273939290490749,0.6273939290490749,0.25364600051185654,0.07641886745558198,1,1,1,0.0,✓ Strong
cn,0.43290701486810274,0.43290701486810274,0.21237345688254428,0.04915442480762969,2,2,2,0.0,✓ Strong
srt,-0.027714555885368,0.027714555885368,0.17225426891844403,0.0044287689323468165,6,3,7,4.333333333333333,✗ Divergent
hrt,-0.16417300412610641,0.16417300412610641,0.13490821508918402,0.04613331688439878,3,4,3,0.33333333333333337,✓ Strong
fm,0.13291112694053211,0.13291112694053211,0.118076804545135,0.019598664493113455,4,5,4,0.33333333333333337,✓ Strong
glu,0.12961239869128452,0.12961239869128452,0.07740593170210155,0.014499335100509401,5,6,5,0.33333333333333337,✓ Strong
mlss,0.018400144614214308,0.018400144614214308,0.048228459107461985,0.0066545504677929315,7,7,6,0.3333333333333333,✓ Strong
