Feature,Observed_Min,Observed_Max,Old_Lo (mean-3σ),Old_Hi (mean+3σ),Extrapolation_Lo,Extrapolation_Hi
glu,0.402731298,1.351504665,0.13868832595770308,1.2085090183085487,YES,no
mlss,1997.4533469999997,7628.776115999999,1656.3604969636626,8099.286018982838,YES,YES
air,4471.490454,7254.960137,4354.903440285518,7532.4408414756035,YES,YES
fm,0.013267927,0.062932349,0.004344030356879969,0.05063584317469079,YES,no
cn,4.804029515,17.50294249,2.664257462790202,16.150524004096894,YES,no
hrt,5.878194756,11.04114453,4.935448650821161,9.767353765866243,YES,no
srt,43.32299777,108.3324558,44.282957185502255,131.49091298495497,no,YES
