feature,pearson_r_vs_TMP,abs_pearson_r_vs_TMP,rank_vs_TMP,pearson_r_vs_Flow,abs_pearson_r_vs_Flow,rank_vs_Flow,pearson_r_vs_Level,abs_pearson_r_vs_Level,rank_vs_Level
glu,-0.104704,0.104704,6,0.129612,0.129612,5,0.268853,0.268853,3
mlss,0.121058,0.121058,5,0.018400,0.018400,7,-0.489068,0.489068,1
air,-0.064070,0.064070,7,-0.627394,0.627394,1,-0.109454,0.109454,5
fm,-0.148289,0.148289,4,0.132911,0.132911,4,0.481462,0.481462,2
cn,-0.332830,0.332830,1,0.432907,0.432907,2,0.131106,0.131106,4
hrt,-0.262234,0.262234,2,-0.164173,0.164173,3,-0.055466,0.055466,6
srt,-0.256714,0.256714,3,-0.027715,0.027715,6,0.001542,0.001542,7
