Feature,Mean_Abs_SHAP_Feasible
srt,0.23163438597905767
air,0.1758066711704356
mlss,0.15027170174236695
fm,0.14767285331640745
glu,0.12309603633598305
cn,0.06450678163427977
hrt,0.03808465303707245
