Feature,Mean_Abs_SHAP_Feasible
srt,0.5190314732014247
cn,0.08143323251419711
hrt,0.07113526050341465
mlss,0.048592934633292964
air,0.040376880950940656
glu,0.033836484968601095
fm,0.03369004954322554
